,,,,,,,PRO EUROPEAN COMPETITIONS,,LEAGUE SERIES,,,,,,PRO CUP,,,
,Week No,GamePhaseID,Start Date,End Date,Notes,IsValidCupRound,PRO CHAMPIONS LEAGUE,PRO EUROPA LEAGUE,15 and 16,13 and 14,11 and 12,9 and 10,7 and 8,5 and 6,5 and 7,8 and 10,11 and 13,14 and 16
,1,12,07/08/2018 0:00,14/08/2018 0:00,,1,,,,,,,,,,,,
,2,13,14/08/2018 0:00,21/08/2018 0:00,,1,,,,,,,,,,,,
,3,14,21/08/2018 0:00,28/08/2018 0:00,,1,,,,,,,,,,,,
,4,15,28/08/2018 0:00,04/09/2018 0:00,,1,,,1,,,1,,,,,,
,5,16,04/09/2018 0:00,11/09/2018 0:00,INTERNATIONAL,0,,,,,,,,,,,,
,6,17,11/09/2018 0:00,18/09/2018 0:00,,1,,,2,1,,2,,,,,,
,7,18,18/09/2018 0:00,25/09/2018 0:00,,1,,,3,2,1,3,1,1,,,,
,8,19,25/09/2018 0:00,02/10/2018 0:00,,1,,,4,3,2,4,2,2,,,,
,9,20,02/10/2018 0:00,09/11/2018 0:00,,1,,,5,4,3,5,3,3,,,,
,10,21,09/10/2018 0:00,16/10/2018 0:00,INTERNATIONAL,0,,,,,,,,,,,,
,11,22,16/10/2018 0:00,23/10/2018 0:00,,1,G1,G1,6,5,4,6,4,,,,,
,12,23,23/10/2018 0:00,30/10/2018 0:00,,1,G2,G2,7,6,5,7,5,4,,,,
,13,24,30/10/2018 0:00,06/11/2018 0:00,,1,G3,G3,8,7,6,8,6,5,,,,
,14,25,06/11/2018 0:00,13/11/2018 0:00,,1,G4,G4,9,8,7,9,7,6,,,,
,15,26,13/11/2018 0:00,20/11/2018 0:00,INTERNATIONAL,0,,,,,,,,,,,,
,16,27,20/11/2018 0:00,27/11/2018 0:00,,1,G5,G5,10,9,,10,,,,,,
,17,28,27/11/2018 0:00,04/12/2018 0:00,,1,G6,G6,11,10,8,11,8,7,,,,
,18,29,04/12/2018 0:00,11/12/2018 0:00,MIDWEEK,1,,,12,11,9,12,,,,,,
,19,30,11/12/2018 0:00,18/12/2018 0:00,,1,,,13,12,10,13,9,8,,,,
,20,31,18/12/2018 0:00,25/12/2018 0:00,,1,,,14,13,,14,,,,,,
16768,21,32,25/12/2018 0:00,01/01/2019 0:00,MIDWEEK,1,,,15,14,11,15,10,9,,,,
,22,33,01/01/2019 0:00,08/01/2019 0:00,"MIDWEEK, FA CUP RND 3",0,,,,,,,,,,,,
8384,23,34,08/01/2019 0:00,15/01/2019 0:00,,1,,,16,15,12,16,11,10,,1,,
4192,24,35,15/01/2019 0:00,22/01/2019 0:00,,1,,,17,16,13,17,12,11,1,2,1,
,25,36,22/01/2019 0:00,29/01/2019 0:00,FA CUP RND 4,0,,,,,,,,,,,,
2048,26,37,29/01/2019 0:00,05/02/2019 0:00,MIDWEEK,1,,START,18,17,14,18,13,12,2,3,2,1
1024,27,38,05/02/2019 0:00,12/02/2019 0:00,,1,START,512,19,18,15,19,14,13,3,4,3,2
,28,39,12/02/2019 0:00,19/02/2019 0:00,FA CUP RND 5,0,,,,,,,,,,,,
,29,40,19/02/2019 0:00,26/02/2019 0:00,LEAGUE CUP FINAL,0,,,20,,,,,,,,,
512,30,41,26/02/2019 0:00,05/03/2019 0:00,MIDWEEK,1,256,256,21,19,16,20,15,14,4,5,4,3
,31,42,05/03/2019 0:00,12/03/2019 0:00,,1,128,128,22,20,17,21,16,15,5,6,5,4
256,32,43,12/03/2019 0:00,19/03/2019 0:00,FA CUP RND 6,0,,,23,,,,,,,,,
,33,44,19/03/2019 0:00,26/03/2019 0:00,INTERNATIONAL,0,,,,,,,,,,,,
128,34,45,26/03/2019 0:00,02/04/2019 0:00,,1,64,64,24,21,18,22,17,16,6,7,6,5
64,35,46,02/04/2019 0:00,09/04/2019 0:00,,1,32,32,25,22,,23,,,7,8,7,6
32,36,47,09/04/2019 0:00,16/04/2019 0:00,,1,16,16,26,23,19,24,18,17,8,9,8,7
,37,48,16/04/2019 0:00,23/04/2019 0:00,FA CUP SF,0,,,27,,,,,,,,,
16,38,49,23/04/2019 0:00,30/04/2019 0:00,,1,8,8,28,24,20,25,19,18,9,10,9,8
8,39,50,30/04/2019 0:00,07/04/2019 0:00,,1,4,4,29,25,21,26,20,19,10,11,10,9
4,40,51,07/04/2019 0:00,14/05/2019 0:00,,1,2,2,30,26,22,27,21,20,11,12,11,10
2,41,52,14/05/2019 0:00,01/09/2019 0:00,FA CUP FINAL,0,,,,,,,,,,,,
